OTU ID	S48	S45	S29	S24	S20	S19	S17	S11	S50	S22	S53	S31	S3	S43	S47	S6	S1	S32	S36	S30	S10	S35	S14	S27	S38	S34	S46	S9	S33	S2	S42	S21	S23	S16	S4	S18	S41	S8	S37	S25	S44	S28	S15	S39	S5	S52	S49	S40	S26	S51	S12	S7	S13	PCRCtrl
25076ed340320be3af10a823904fb436	40	0	0	0	0	0	0	0	384	0	0	0	1	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	17	12	101	0	0	32	0	18	0	0
6f384c926424d43c215fbe9337d55324	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	65	139	0	0	0	0	0	0	0	0	2	0	0	2	101	0	0	0	0	43	0	0	6	0	0	0	0	0	0	93	0	0	0	0	0	0	157	0	0
4702bcec88c67c7b84f01cc6759b8081	6	0	39	33	14	0	6	14	0	17	0	0	20	7	0	22	40	0	0	12	3	0	2	59	0	0	0	73	0	38	0	2	0	38	2	49	2	8	0	28	0	0	33	0	0	0	0	0	13	9	2	3	25	0
ce210ea25c6248440cf80c2316490738	274	0	0	0	0	0	0	0	0	0	9	0	0	0	9	0	0	0	0	0	0	0	0	0	29	0	15	0	181	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	21	34	0	0	0	0	0
4672ea4f639a562525ca497b39a9f976	0	5	85	2	2	0	0	3	0	0	2	13	0	0	40	159	8	9	0	64	0	0	0	8	17	3	0	17	40	4	0	0	0	7	1	3	7	2	3	8	8	0	3	1	0	0	4	5	13	7	1	0	16	0
bc3fcb2b5f5f53acd72beef5c8099a3b	0	0	17	67	8	0	0	0	0	0	0	6	4	0	0	126	9	4	0	105	0	0	0	8	0	0	0	0	0	23	0	6	0	4	5	21	0	0	0	3	0	8	91	0	0	0	0	0	52	1	0	0	0	0
3a9390c50e550e884fbaae75365b21eb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	93	0	165	0	0	0	0	0	0	0	0	0	0
b60e63291c39aef0ead6347be2aa3be9	2	13	0	0	0	0	4	5	0	0	15	0	0	5	7	0	44	0	7	0	15	8	0	0	21	7	4	0	22	0	2	0	60	21	0	2	5	49	128	0	0	0	0	32	0	0	7	10	0	10	0	0	0	0
4069e5a4a2f0d8d687a4c9d8e4b7ad6c	3	0	0	0	0	0	0	0	40	0	0	0	3	0	0	33	7	0	0	0	0	0	0	0	0	0	0	0	0	256	0	0	0	0	7	0	0	20	0	0	0	0	0	0	68	35	14	0	0	17	0	0	0	0
919919ab8cc8abc63e77b3f3c78bd1e9	0	0	174	0	0	0	0	3	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0
ddabebce14259b11d2fcdd6853592e5f	0	0	2	0	0	0	0	5	0	0	0	0	22	0	0	17	42	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	2	55	0	0	55	0	0	0	0	0	0	45	0	0	0	0	0	0	109	0	0
22ed70e219c67c2bf4e20e0b144b12bb	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
8317ce9878d9aaf83342e8a3acca3dbe	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	384	3	0	0	0	3	0	0	0	0
68b0db3b983c6d942130eea0ccb0e121	0	0	6	0	0	0	0	0	0	3	0	0	0	0	0	0	254	0	0	97	5	0	0	3	0	0	0	0	3	0	0	0	2	12	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2d67c6fafb8d193716759edfcb0dde30	23	0	0	0	0	0	14	2	0	9	10	0	0	1	0	0	0	0	2	60	2	8	0	0	2	3	0	0	0	0	0	0	12	0	0	0	27	0	193	0	2	0	0	6	0	3	1	0	0	0	0	0	0	0
d05179df30e3fd67aa7731ed64f89576	0	0	82	0	0	3	0	0	2	27	0	0	0	0	0	0	60	3	0	14	0	0	0	75	0	0	0	0	0	0	0	2	85	12	0	0	0	6	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
7d590a298965708bd3b0fc4ace4c409b	0	0	0	0	0	0	0	0	0	0	3	0	0	8	0	0	0	0	8	0	0	0	0	0	0	0	7	0	327	0	0	0	0	0	0	0	0	0	5	0	2	0	0	5	0	0	0	4	0	0	0	0	0	369
ad187b163f072a7443ee3a88f9bb5666	31	2	9	2	0	0	0	9	0	0	10	0	0	4	12	0	30	1	5	19	5	11	0	0	3	13	27	3	25	0	36	0	3	3	0	6	9	21	3	0	0	0	0	1	0	0	6	3	0	5	0	0	0	317
62bf37c50994a06e6c8c93355ad1caa0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	12	0	0	0	243	0	0	0	0	7	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	313
0e40a32103afad27d9711630e78465e1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	37	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310
a887ec2090ed746cdb5a5ae42a186a98	0	0	0	0	231	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304
8287755612e53b78da1760414a495799	20	7	0	0	0	0	0	0	2	0	0	0	0	7	20	0	0	0	0	0	0	0	0	0	10	8	35	0	43	0	0	0	0	0	0	0	54	0	36	0	0	0	0	11	0	0	1	3	0	25	0	0	0	282
f87def81983cb036ea2e84616fab0609	21	0	0	0	0	0	0	0	140	0	0	0	1	0	2	0	18	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	2	0	0	1	1	5	41	0	0	9	0	10	0	256
ec385e5e763986d52633a7e1bc2df912	29	0	0	0	0	0	0	0	68	0	0	0	5	0	0	11	7	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	9	79	0	0	26	0	6	0	254
a57111a956a7c95f2f4348968dfb5a45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	3	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	254
81357f5a5c364c7c0ec26a32c271c6a1	2	2	0	0	0	0	0	0	0	0	3	0	17	3	9	42	22	0	2	0	0	4	0	0	3	1	5	0	5	53	0	0	0	0	0	0	11	5	9	0	4	0	0	1	28	4	0	3	0	14	0	0	0	252
79e9e337b10e2d298bb1b3bde946782d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	238
45f73e1340277ac9658b26da925310ad	0	0	0	0	0	0	0	2	4	0	0	0	1	0	0	5	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	0	18	0	0	3	0	0	0	233
38b8c8550489d7bd6f1ee86984d6aea9	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	27	0	0	0	7	26	0	0	0	0	23	0	68	0	0	0	0	0	0	0	22	0	0	6	0	0	0	0	0	0	0	0	48	230
c7c47ba64eb5af44dfcbf76949e8acaf	59	0	0	0	0	0	0	0	0	0	115	0	0	10	28	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	228
1770969efe03213473359b20f61d35ae	0	0	0	0	0	0	0	0	0	0	71	0	0	6	0	29	0	8	0	0	0	0	5	0	2	0	1	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	35	209
3fde646d5b5870e0c36c302be426634d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207
149bd003afc4f4dcb1ce23429c8918fb	0	0	0	0	0	0	0	0	0	0	32	0	0	7	76	0	0	0	9	0	0	0	0	0	13	2	0	0	0	0	16	0	0	0	0	0	8	0	2	0	0	0	0	0	0	0	0	19	0	0	0	0	0	184
92e79ed7ceb1f8a9e5d1e86035b0cae3	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	69	0	0	0	0	183
9394c227882ce6ff3494a3808f0294ce	0	0	21	0	0	0	0	2	0	3	0	0	2	0	0	2	37	0	0	15	0	2	0	35	0	0	0	0	4	3	0	0	28	11	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172
979b542036f976daa94ad4503bb196ae	0	0	8	0	0	0	0	3	0	2	0	0	0	0	0	0	35	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	53	14	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167
f8fe4ee0ae3da9a1432872f5545a0d42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	163
b898df767c7074ad35ff6acce86ce848	0	5	0	0	0	0	0	0	0	0	49	0	0	3	17	0	0	0	0	0	0	8	0	0	2	4	18	0	26	0	0	0	0	0	0	0	3	0	3	0	0	0	0	2	0	0	15	5	0	0	0	0	0	160
44a889feef907ffb122804a6177a02a0	0	0	1	0	6	16	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	102	0	0	0	0	0	2	0	0	23	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156
c1a2a8184070ca928ed76947f2083b4c	0	0	43	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	99	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155
d239ec6ff45cff0214e54fec42731d27	24	16	0	0	0	0	0	0	0	0	1	0	0	7	17	0	0	0	7	0	0	0	0	0	13	13	7	0	7	0	0	0	0	0	0	0	9	0	5	0	3	0	0	9	0	1	4	9	0	1	0	0	0	153
381059685b59f4d99e68b3fab9c26c14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	148
5423ef803850a519dd3a59044d047810	0	0	18	0	0	2	0	0	0	3	0	0	0	0	0	0	32	0	0	18	0	2	0	43	0	0	0	0	0	0	0	0	5	5	0	0	0	10	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	142
e6dfd15b38618c3c7ff0a025083f56d4	0	9	0	5	0	0	0	0	0	0	5	2	0	0	1	0	0	0	0	0	0	18	0	18	0	0	1	0	0	3	0	0	17	0	0	0	0	0	1	0	54	0	0	0	0	0	0	0	0	0	0	0	0	134
d7ba3489a833a068745fd61c724e47f9	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	7	0	0	132
282f60c2e755dd1ae13c41b2a5781570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	24	0	0	0	0	0	132
27aabad23d65f34b05066db55832b9ad	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121
c205811ffbe5417d766640f40c9bcea5	2	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	30	0	12	0	9	0	0	0	0	0	0	0	0	35	2	0	2	0	0	3	0	0	0	2	3	0	2	0	0	0	0	0	0	0	115
9c7c840d5fb8507be3331da7d9dcb324	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0	0	31	0	0	0	0	0	0	12	0	0	0	2	32	0	0	0	12	0	0	2	0	8	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	111
575f200ca7a1f708e2467e8fea7c4457	23	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	21	0	0	5	0	0	0	101
aeaad4019ec5975e2993cc940448374b	1	0	0	0	0	0	0	0	59	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	7	0	0	5	0	0	0	77
6730fac58228759a3325d5019bed159e	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77
cd12adac2d2587d1ce2f0dfe8fcd69ad	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	73
a187fb84899db8e2fab94d8c1f481634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	69
