function	S1	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S27	S28	S29	S3	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S4	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S5	S50	S51	S52	S6	S7	S8	S9
RXN66-353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RXN66-354	904.0	739.0	60.0	83.0	642.0	410.0	23.68	58.66	653.34	356.0	16.0	2155.0	1157.0	0.0	3.0	120.0	259.0	1051.0	200.0	138.0	153.34	352.3400000000001	274.0	1959.0	794.0	190.66	458.0	32.34	371.0	43.34	154.66	196.34	2022.66	91.34	71.0	93.34	25.0	203.66	214.34	116.34	47.0	4049.0	1125.34	1200.0	2127.0	1006.0	161.0	664.0	1715.34	346.0	200.0
RXN66-362	904.0	739.0	60.0	83.0	642.0	410.0	23.68	58.66	653.34	356.0	16.0	2155.0	1157.0	0.0	3.0	120.0	259.0	1051.0	200.0	138.0	153.34	352.3400000000001	274.0	1959.0	794.0	190.66	458.0	32.34	371.0	43.34	154.66	196.34	2022.66	91.34	71.0	93.34	25.0	203.66	214.34	116.34	47.0	4049.0	1125.34	1200.0	2127.0	1006.0	161.0	664.0	1715.34	346.0	200.0
RXN66-469	26563.76	6266.08	3708.26	3856.5	4609.41	5647.030000000002	4838.42	7556.770000000001	4502.52	5432.88	4925.01	26300.39	8053.92	4622.87	11353.75	7869.519999999998	8068.8	8195.36	8588.349999999999	7547.05	8617.22	20995.16	9299.75	7449.43	10236.58	9609.86	7396.43	9350.45	4241.88	4342.59	4224.75	4536.24	14992.68	5269.909999999999	7471.25	4286.59	2743.15	3891.76	4506.19	5527.58	5873.35	30995.53	19118.86	20004.31	25214.31	17401.510000000002	5735.55	14778.01	24268.46	29958.480000000003	4197.0
RXN66-472	35613.36	3764.33	1872.19	1786.75	4356.1	4743.29	1369.11	5105.149999999999	4432.1	4402.73	5161.030000000002	30274.300000000007	10784.17	4247.5	15034.0	7728.709999999999	10743.4	7946.969999999998	8920.970000000001	8365.9	7783.32	35984.279999999984	8695.08	12026.38	10856.83	10876.88	7790.03	10178.3	5173.48	3306.77	2995.95	3018.42	18889.02	5176.190000000001	6145.9	2999.97	1894.95	2815.58	4163.27	6329.130000000001	3359.8	22523.52	15792.44	26438.05	21421.97	15199.42	4768.23	16097.61	20082.76	35591.53	2790.75
RXN66-476	35613.36	3764.33	1872.19	1786.75	4356.1	4743.29	1369.11	5105.149999999999	4432.1	4402.73	5161.030000000002	30274.300000000007	10784.17	4247.5	15034.0	7728.709999999999	10743.4	7946.969999999998	8920.970000000001	8365.9	7783.32	35984.279999999984	8695.08	12026.38	10856.83	10876.88	7790.03	10178.3	5173.48	3306.77	2995.95	3018.42	18889.02	5176.190000000001	6145.9	2999.97	1894.95	2815.58	4163.27	6329.130000000001	3359.8	22523.52	15792.44	26438.05	21421.97	15199.42	4768.23	16097.61	20082.76	35591.53	2790.75
RXN66-477	26563.76	6266.08	3708.26	3856.5	4609.41	5647.030000000002	4838.42	7556.770000000001	4502.52	5432.88	4925.01	26300.39	8053.92	4622.87	11353.75	7869.519999999998	8068.8	8195.36	8588.349999999999	7547.05	8617.22	20995.16	9299.75	7449.43	10236.58	9609.86	7396.43	9350.45	4241.88	4342.59	4224.75	4536.24	14992.68	5269.909999999999	7471.25	4286.59	2743.15	3891.76	4506.19	5527.58	5873.35	30995.53	19118.86	20004.31	25214.31	17401.510000000002	5735.55	14778.01	24268.46	29958.480000000003	4197.0
RXN66-478	37807.38000000001	14162.41	6313.19	7578.25	7815.79	9117.44	9968.89	7951.129999999999	5967.5	5285.56	3574.52	43228.74000000001	12528.34	5980.0	10882.75	4909.71	16274.9	8907.58	11503.44	9885.9	6320.759999999998	49082.84999999999	6045.22	19084.21	11819.16	10173.47	8959.380000000001	10040.36	5378.65	6885.33	6542.02	7768.24	28876.03	10882.84	12724.1	6397.54	5209.7	5786.26	5389.84	7646.31	9348.39	28055.74	19015.18	36050.680000000015	17821.54	17663.14	5037.8600000000015	27213.03	41390.40999999999	51481.78999999999	6953.25
RXN66-479	35613.36	3764.33	1872.19	1786.75	4356.1	4743.29	1369.11	5105.149999999999	4432.1	4402.73	5161.030000000002	30274.300000000007	10784.17	4247.5	15034.0	7728.709999999999	10743.4	7946.969999999998	8920.970000000001	8365.9	7783.32	35984.279999999984	8695.08	12026.38	10856.83	10876.88	7790.03	10178.3	5173.48	3306.77	2995.95	3018.42	18889.02	5176.190000000001	6145.9	2999.97	1894.95	2815.58	4163.27	6329.130000000001	3359.8	22523.52	15792.44	26438.05	21421.97	15199.42	4768.23	16097.61	20082.76	35591.53	2790.75
RXN66-480	26563.76	6266.08	3708.26	3856.5	4609.41	5647.030000000002	4838.42	7556.770000000001	4502.52	5432.88	4925.01	26300.39	8053.92	4622.87	11353.75	7869.519999999998	8068.8	8195.36	8588.349999999999	7547.05	8617.22	20995.16	9299.75	7449.43	10236.58	9609.86	7396.43	9350.45	4241.88	4342.59	4224.75	4536.24	14992.68	5269.909999999999	7471.25	4286.59	2743.15	3891.76	4506.19	5527.58	5873.35	30995.53	19118.86	20004.31	25214.31	17401.510000000002	5735.55	14778.01	24268.46	29958.480000000003	4197.0
